brand,detail,detail_desc,goods_desc,goods_id,goods_title,pl_id,scj_price,title,url,weight,zp_price
其他品牌,茶道配件,"规格：长27.5cm*宽7.2cm*高33.5cm,产地：广州,包装规格：长32.5cm*宽18.5cm*高39.5cm",多功能 全自动进水,8703556,白沙溪 茶饮机 智能泡茶机第五代 可视化泡茶机,11842,880.00元,茶器,https://www.zuipin.cn/goods?id=8703556,3200克,880.00元
其他品牌,茶道配件,"规格：长约43cm*宽约31cm,产地：浙江安吉县,材质：竹制",分隔茶事区域 提升装置美感,8684973,茶道配件 手工紫竹大屏风 篱笆 茶席摆件,3125,76.00元,茶器,https://www.zuipin.cn/goods?id=8684973,285克,65.00元
其他品牌,茶道配件,"规格：长约36cm*宽约11.5cm,产地：浙江安吉县,材质：竹制",分隔茶事区域 提升装置美感,8684972,茶道配件 手工紫竹中屏风 篱笆 茶席摆件,3126,60.00元,茶器,https://www.zuipin.cn/goods?id=8684972,99克,50.00元
醉品朴茶,茶道配件,"规格：12.5cm*10cm*7cm,产地：德化,材质：陶瓷,适用场所：家居办公茶馆",养茶宠 知茶趣 茶道必备好帮手,8667819,【乐淘缘】 青瓷 十全网架组 精品茶道配件,2297,128.00元,茶器,https://www.zuipin.cn/goods?id=8667819,290克,79.00元
其他品牌,茶道配件,"规格：长20cm*宽约2cm,产地：浙江安吉县,材质：竹制",润养茶壶、清理茶盘 便利实用,8684967,茶道配件 竹制养壶笔 手工竹制,3131,35.00元,茶器,https://www.zuipin.cn/goods?id=8684967,15克,29.00元
其他品牌,茶道配件,,泡茶养玩  桌面摆件  创意小礼品,8684983,茶道配件 陶瓷茶宠 坐禅,3172,228.00元,茶器,https://www.zuipin.cn/goods?id=8684983,200克,140.00元
其他品牌,茶道配件,"规格：高9cm*直径12cm,产地：泉州,材质：陶瓷",茶水桶 桌面专用,8699476,茶道配件 茶水桶 古铜建水小号,3239,116.00元,茶器,https://www.zuipin.cn/goods?id=8699476,408克,108.00元
其他品牌,茶道配件,"规格：长约17cm*宽约2.3cm,产地：浙江安吉县,材质：竹制",养护茶具茶盘 柔软不伤器物表面,8684966,茶道配件 竹根养壶笔 手工竹制,3132,30.00元,茶器,https://www.zuipin.cn/goods?id=8684966,22克,25.00元
其他品牌,茶道配件,,小型茶盘，简约实用,8702059,仿古青瓷茶具 铜质干泡台002 经典五边型壶承  手绘游鱼小景,11361,108.00元,茶器,https://www.zuipin.cn/goods?id=8702059,565克,80.00元
其他品牌,茶道配件,,桌面摆件 茶玩,8684991,茶道配件 陶瓷茶宠 不看不听不说 3个/套,3171,298.00元,茶器,https://www.zuipin.cn/goods?id=8684991,200克,230.00元
其他品牌,茶道配件,,小型茶盘，简约实用,8702058,仿古青瓷茶具 铜质干泡台003 壶承  手绘山水小景,18658,108元,茶器,https://www.zuipin.cn/integral/detail?proSku=8702058,565克,None元
祥源,六安瓜片,"规格：75g/盒,产地：安徽黄山市,食品生产许可证：SC11434102405068,采摘季节：春季,储藏方法：于清洁、干燥、阴凉、无异味处,保质期：18个月,等级：特级",特级品质，行家口碑茶,8700936,祥源 六安瓜片 核心产区精品茶 2018年新茶 绿茶 特级 75g 单盒,9444,188.00元,绿茶,https://www.zuipin.cn/goods?id=8700936,75克,188.00元
祥源,六安瓜片,"规格：75g/罐,产地：安徽黄山市,食品生产许可证：SC11434102405068,采摘季节：春季,储藏方法：于清洁、干燥、阴凉、无异味处,保质期：18个月,等级：一级",叶叶精练，自然馈赠,8700939,祥源 六安瓜片 2018年新茶 绿茶 一级 75g 单罐,9453,98.00元,绿茶,https://www.zuipin.cn/goods?id=8700939,75克,98.00元
极白,安吉白茶,"规格：30g*3,产地：浙江·湖州·安吉,食品生产许可证：SC11433052301053,采摘季节：春季,储藏方法：避光、密封、干燥、无异味处冷藏,保质期：18个月,等级：特级,包装规格：长39cm*高20cm*高10cm",宗师级品质 献给有高度的人,8703598,极白 安吉白茶 贵宾国礼茶 2018年春茶 绿茶 精品 一代宗师V8 90g 礼盒装,11837,980.00元,绿茶,https://www.zuipin.cn/goods?id=8703598,90克,980.00元
千道湾,安吉白茶,"规格：45g*3,产地：浙江安吉,食品生产许可证：SC11433052300124,采摘季节：春季,储藏方法：低温、密封、避光、干燥,保质期：18个月,包装规格：长35cm*宽25cm*高9.2cm",老品牌茶礼 送礼大气,8703659,千道湾 2018年安吉白茶 金山礼盒 精品 135g,11865,1280.00元,绿茶,https://www.zuipin.cn/goods?id=8703659,135克,1280.00元
